INFO: 2018-09-04 17:10:23,060 4321362816 Collector started ...
INFO: 2018-09-04 17:25:26,708 MainThread Collector started ...
DEBUG: 2018-09-04 17:28:16,749 Collect Signing request <PreparedRequest [POST]> using client <Client client_key=JxZR7y7x7y6iR7GDO8O6lm6dM, client_secret=****, resource_owner_key=971353729369853952-nd1J0LwfQ2eaUbfGycZGIuvlPjb79JF, resource_owner_secret=****, signature_method=HMAC-SHA1, signature_type=AUTH_HEADER, callback_uri=None, rsa_key=None, verifier=None, realm=None, encoding=utf-8, decoding=None, nonce=None, timestamp=None>
DEBUG: 2018-09-04 17:28:16,750 Collect Including body in call to sign: False
DEBUG: 2018-09-04 17:28:16,751 Collect Collected params: [('delimited', 'length'), ('oauth_nonce', '53601522475431604071536074896'), ('oauth_timestamp', '1536074896'), ('oauth_version', '1.0'), ('oauth_signature_method', 'HMAC-SHA1'), ('oauth_consumer_key', 'JxZR7y7x7y6iR7GDO8O6lm6dM'), ('oauth_token', '971353729369853952-nd1J0LwfQ2eaUbfGycZGIuvlPjb79JF')]
DEBUG: 2018-09-04 17:28:16,751 Collect Normalized params: delimited=length&oauth_consumer_key=JxZR7y7x7y6iR7GDO8O6lm6dM&oauth_nonce=53601522475431604071536074896&oauth_signature_method=HMAC-SHA1&oauth_timestamp=1536074896&oauth_token=971353729369853952-nd1J0LwfQ2eaUbfGycZGIuvlPjb79JF&oauth_version=1.0
DEBUG: 2018-09-04 17:28:16,752 Collect Normalized URI: https://stream.twitter.com/1.1/statuses/sample.json
INFO: 2018-09-04 17:28:16,752 MainThread Collector started ...
DEBUG: 2018-09-04 17:28:16,752 Collect Signing: signature base string: POST&https%3A%2F%2Fstream.twitter.com%2F1.1%2Fstatuses%2Fsample.json&delimited%3Dlength%26oauth_consumer_key%3DJxZR7y7x7y6iR7GDO8O6lm6dM%26oauth_nonce%3D53601522475431604071536074896%26oauth_signature_method%3DHMAC-SHA1%26oauth_timestamp%3D1536074896%26oauth_token%3D971353729369853952-nd1J0LwfQ2eaUbfGycZGIuvlPjb79JF%26oauth_version%3D1.0
DEBUG: 2018-09-04 17:28:16,753 Collect Signature: DdG0OmhUL/0QeV9BJJjB91wuobs=
DEBUG: 2018-09-04 17:28:16,753 Collect Updated url: https://stream.twitter.com/1.1/statuses/sample.json?delimited=length
DEBUG: 2018-09-04 17:28:16,754 Collect Updated headers: {'Content-Length': '0', 'Authorization': 'OAuth oauth_nonce="53601522475431604071536074896", oauth_timestamp="1536074896", oauth_version="1.0", oauth_signature_method="HMAC-SHA1", oauth_consumer_key="JxZR7y7x7y6iR7GDO8O6lm6dM", oauth_token="971353729369853952-nd1J0LwfQ2eaUbfGycZGIuvlPjb79JF", oauth_signature="DdG0OmhUL%2F0QeV9BJJjB91wuobs%3D"'}
DEBUG: 2018-09-04 17:28:16,754 Collect Updated body: None
DEBUG: 2018-09-04 17:28:16,776 Collect Starting new HTTPS connection (1): stream.twitter.com
DEBUG: 2018-09-04 17:28:17,352 Collect https://stream.twitter.com:443 "POST /1.1/statuses/sample.json?delimited=length HTTP/1.1" 200 None
DEBUG: 2018-09-04 17:28:17,758 StoreTweets Starting new HTTP connection (1): 52.57.236.217
DEBUG: 2018-09-04 17:28:17,793 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:18,825 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:18,854 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:18,877 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:18,900 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:18,931 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:18,963 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:18,994 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,028 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,050 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,078 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,117 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,141 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,173 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,190 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,218 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,240 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,265 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,303 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,324 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,362 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,393 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
DEBUG: 2018-09-04 17:28:19,417 StoreTweets http://52.57.236.217:8086 "POST /write?db=tweestat_test HTTP/1.1" 204 0
